id,admission_id,amount,method
1,1,1905.61€,check
2,2,4909.56€,check
3,3,1586.04€,pending
4,4,4696.34€,pending
5,5,2333.6€,cash
6,6,584.82€,cash
7,7,1781.45€,CB
8,8,4250.97€,cash
9,9,3541.7€,pending
10,10,3618.25€,check
11,11,2507.7€,cash
12,12,4201.39€,transfer
13,13,4543.75€,pending
14,14,4610.62€,cash
15,15,4282.94€,cash
16,16,3869.97€,check
17,17,1625.63€,check
18,18,3684.22€,check
19,19,1349.32€,pending
20,20,4210.78€,check
21,21,241.78€,pending
22,22,3312.28€,cash
23,23,2582.48€,cash
24,24,1740.86€,cash
25,25,3580.55€,transfer
26,26,4765.8€,pending
27,27,1479.05€,CB
28,28,2832.56€,transfer
29,29,3222.47€,pending
30,30,383.34€,CB
31,31,3784.53€,transfer
32,32,3560.74€,CB
33,33,4002.74€,cash
34,34,713.36€,cash
35,35,503.25€,pending
36,36,2889.08€,pending
37,37,1785.7€,pending
38,38,1795.51€,check
39,39,3367.17€,pending
40,40,2441.41€,pending
41,41,1142.56€,check
42,42,3596.31€,pending
43,43,455.84€,check
44,44,2756.68€,transfer
45,45,4622.86€,CB
46,46,2018.0€,CB
47,47,1911.6€,transfer
48,48,2661.47€,CB
49,49,4022.35€,cash
50,50,3484.01€,cash
51,51,4758.08€,cash
52,52,2699.26€,check
53,53,3393.64€,cash
54,54,2214.65€,CB
55,55,2494.66€,transfer
56,56,602.82€,CB
57,57,2123.31€,pending
58,58,1670.49€,check
59,59,3057.73€,check
60,60,2072.56€,CB
61,61,3087.32€,cash
62,62,1017.14€,CB
63,63,1117.32€,transfer
64,64,1678.11€,CB
65,65,1856.85€,pending
66,66,3447.18€,check
67,67,4150.26€,CB
68,68,4209.21€,cash
69,69,1606.07€,check
70,70,3664.42€,check
71,71,2990.96€,cash
72,72,3440.96€,pending
73,73,1524.08€,pending
74,74,1214.1€,check
75,75,3640.43€,check
76,76,746.02€,pending
77,77,1759.29€,check
78,78,1523.31€,check
79,79,1145.8€,cash
80,80,1033.77€,pending
81,81,2745.7€,pending
82,82,4198.81€,transfer
83,83,736.33€,transfer
84,84,1796.42€,transfer
85,85,458.13€,CB
86,86,4675.17€,CB
87,87,4171.66€,transfer
88,88,2624.9€,transfer
89,89,443.37€,CB
90,90,3862.35€,check
91,91,4118.74€,cash
92,92,3539.45€,cash
93,93,3686.2€,transfer
94,94,1451.78€,pending
95,95,618.68€,pending
96,96,2664.34€,pending
97,97,3397.52€,check
98,98,1589.3€,pending
99,99,706.87€,check
100,100,4771.66€,transfer
101,101,1939.33€,cash
102,102,4975.44€,pending
103,103,1041.27€,pending
104,104,1638.91€,check
105,105,3823.87€,transfer
106,106,4614.08€,pending
107,107,1727.03€,check
108,108,832.33€,check
109,109,1616.04€,check
110,110,2384.42€,check
111,111,1091.14€,transfer
112,112,1326.64€,pending
113,113,3365.94€,pending
114,114,752.4€,pending
115,115,2842.51€,pending
116,116,658.43€,transfer
117,117,2006.7€,transfer
118,118,3254.59€,cash
119,119,379.1€,transfer
120,120,2133.04€,CB
121,121,2974.25€,check
122,122,2251.05€,cash
123,123,1757.24€,pending
124,124,2035.21€,transfer
125,125,1582.18€,CB
126,126,415.77€,pending
127,127,1923.22€,check
128,128,4873.25€,transfer
129,129,3118.67€,pending
130,130,1592.07€,pending
131,131,472.2€,check
132,132,1748.41€,cash
133,133,3389.16€,check
134,134,339.76€,CB
135,135,202.9€,transfer
136,136,973.74€,pending
137,137,1771.95€,transfer
138,138,1562.37€,CB
139,139,3871.29€,check
140,140,4310.07€,CB
141,141,1439.02€,pending
142,142,2280.64€,cash
143,143,924.84€,cash
144,144,2124.63€,CB
145,145,2378.81€,transfer
146,146,3014.55€,cash
147,147,2575.78€,pending
148,148,1428.24€,check
149,149,1619.1€,CB
150,150,4293.4€,check
151,151,4232.68€,pending
152,152,1491.36€,pending
153,153,1943.61€,pending
154,154,4437.02€,pending
155,155,2047.9€,cash
156,156,2574.32€,CB
157,157,4183.43€,pending
158,158,4851.88€,pending
159,159,1037.66€,check
160,160,3178.77€,check
161,161,4864.29€,CB
162,162,4976.63€,transfer
163,163,1227.75€,CB
164,164,488.05€,CB
165,165,1642.37€,pending
166,166,3306.4€,cash
167,167,2224.47€,check
168,168,3577.42€,transfer
169,169,1214.93€,cash
170,170,2400.28€,cash
171,171,679.96€,transfer
172,172,3666.74€,check
173,173,2171.25€,check
174,174,1576.43€,transfer
175,175,4832.88€,cash
176,176,4272.09€,transfer
177,177,3037.82€,transfer
178,178,1059.16€,transfer
179,179,4811.36€,pending
180,180,2516.13€,cash
181,181,1504.3€,pending
182,182,3668.73€,transfer
183,183,346.71€,CB
184,184,1777.21€,pending
185,185,1229.59€,check
186,186,1881.88€,CB
187,187,1564.48€,pending
188,188,1162.91€,pending
189,189,710.64€,CB
190,190,2772.94€,pending
191,191,2062.08€,cash
192,192,2498.12€,pending
193,193,2041.41€,CB
194,194,1206.25€,transfer
195,195,3982.39€,cash
196,196,3351.77€,transfer
197,197,4443.22€,cash
198,198,1184.63€,check
199,199,4764.4€,pending
200,200,4240.17€,transfer
201,201,2676.24€,pending
202,202,3896.53€,check
203,203,4215.68€,pending
204,204,4265.06€,transfer
205,205,2018.44€,pending
206,206,2889.69€,CB
207,207,1707.85€,check
208,208,4152.84€,transfer
209,209,4421.0€,cash
210,210,2605.29€,cash
211,211,1543.5€,pending
212,212,306.48€,CB
213,213,3220.59€,pending
214,214,3931.8€,check
215,215,2498.65€,check
216,216,339.89€,cash
217,217,1880.17€,pending
218,218,4131.73€,cash
219,219,1665.97€,transfer
220,220,3639.02€,transfer
221,221,3029.82€,check
222,222,2148.67€,cash
223,223,4440.32€,cash
224,224,2818.57€,cash
225,225,2039.51€,check
226,226,4914.24€,CB
227,227,2446.58€,cash
228,228,2545.37€,CB
229,229,4610.72€,pending
230,230,4789.7€,transfer
231,231,4589.8€,cash
232,232,4799.52€,CB
233,233,1171.64€,cash
234,234,1696.57€,cash
235,235,392.08€,pending
236,236,4428.57€,pending
237,237,4988.0€,transfer
238,238,673.97€,transfer
239,239,3775.18€,transfer
240,240,2338.7€,CB
241,241,3999.89€,transfer
242,242,2661.48€,pending
243,243,2235.88€,pending
244,244,4884.29€,check
245,245,1927.54€,transfer
246,246,1836.66€,check
247,247,2311.42€,cash
248,248,1453.69€,pending
249,249,3714.55€,transfer
250,250,462.09€,transfer
251,251,652.65€,transfer
252,252,693.64€,pending
253,253,3012.82€,pending
254,254,4931.2€,CB
255,255,4166.9€,CB
256,256,4840.82€,pending
257,257,207.43€,check
258,258,3457.55€,pending
259,259,3808.61€,check
260,260,4993.72€,pending
261,261,4455.47€,transfer
262,262,659.97€,check
263,263,1272.62€,cash
264,264,2074.95€,cash
265,265,4572.89€,pending
266,266,2145.86€,cash
267,267,3898.06€,cash
268,268,3024.56€,CB
269,269,1633.94€,pending
270,270,2613.33€,CB
271,271,3061.36€,pending
272,272,2270.5€,cash
273,273,1599.17€,transfer
274,274,1872.26€,transfer
275,275,4556.22€,pending
276,276,1448.77€,cash
277,277,2552.21€,transfer
278,278,3251.33€,check
279,279,1102.68€,check
280,280,1207.7€,cash
281,281,2775.35€,check
282,282,1858.38€,transfer
283,283,3873.82€,CB
284,284,1903.65€,CB
285,285,3489.85€,cash
286,286,4712.7€,transfer
287,287,2910.05€,CB
288,288,2063.7€,cash
289,289,3680.38€,cash
290,290,4316.7€,pending
291,291,3483.51€,pending
292,292,2408.3€,transfer
293,293,3136.47€,check
294,294,4621.62€,CB
295,295,4733.56€,transfer
296,296,3096.59€,transfer
297,297,3041.28€,check
298,298,2750.14€,cash
299,299,2159.15€,transfer
300,300,4416.36€,transfer
301,301,2732.8€,transfer
302,302,514.89€,pending
303,303,2713.5€,transfer
304,304,1708.12€,transfer
305,305,3129.17€,check
306,306,4209.4€,pending
307,307,3922.15€,check
308,308,3538.44€,pending
309,309,1168.91€,transfer
310,310,816.41€,CB
311,311,4155.54€,cash
312,312,2536.66€,transfer
313,313,677.23€,transfer
314,314,1137.12€,CB
315,315,1017.6€,transfer
316,316,4383.4€,pending
317,317,4419.99€,check
318,318,961.28€,CB
319,319,3464.67€,transfer
320,320,2307.55€,cash
321,321,1116.43€,check
322,322,2933.24€,cash
323,323,3304.16€,CB
324,324,1728.89€,cash
325,325,588.34€,CB
326,326,460.83€,CB
327,327,1558.32€,check
328,328,4508.71€,cash
329,329,2006.86€,CB
330,330,1168.73€,cash
331,331,3517.6€,pending
332,332,4288.71€,CB
333,333,958.56€,pending
334,334,2463.77€,transfer
335,335,4966.6€,transfer
336,336,395.4€,CB
337,337,1937.61€,pending
338,338,591.95€,transfer
339,339,3549.91€,pending
340,340,3925.78€,check
341,341,126.62€,cash
342,342,3177.14€,transfer
343,343,3028.08€,check
344,344,1900.03€,CB
345,345,4306.79€,cash
346,346,2487.57€,pending
347,347,1484.18€,CB
348,348,1406.4€,CB
349,349,1460.96€,cash
350,350,568.89€,pending
351,351,3947.66€,cash
352,352,2165.87€,CB
353,353,633.65€,pending
354,354,4863.53€,pending
355,355,2027.52€,pending
356,356,4732.77€,cash
357,357,4537.94€,check
358,358,2835.22€,pending
359,359,4733.79€,transfer
360,360,3038.89€,pending
361,361,1326.53€,pending
362,362,3571.97€,transfer
363,363,4403.08€,cash
364,364,2649.45€,CB
365,365,3620.29€,CB
366,366,2585.77€,cash
367,367,3039.12€,transfer
368,368,1756.01€,cash
369,369,1782.56€,CB
370,370,153.11€,check
371,371,4391.48€,pending
372,372,3876.51€,transfer
373,373,685.75€,CB
374,374,2638.64€,transfer
375,375,3550.56€,transfer
376,376,2476.95€,check
377,377,4881.08€,cash
378,378,3446.7€,pending
379,379,4112.67€,CB
380,380,3207.08€,check
381,381,1102.35€,cash
382,382,2055.15€,CB
383,383,3493.61€,cash
384,384,4239.77€,check
385,385,910.01€,CB
386,386,1922.33€,transfer
387,387,4538.93€,transfer
388,388,3064.08€,cash
389,389,1010.05€,CB
390,390,1044.82€,cash
391,391,1241.47€,CB
392,392,3440.97€,pending
393,393,2874.52€,transfer
394,394,331.71€,cash
395,395,3529.71€,cash
396,396,4663.66€,cash
397,397,408.03€,cash
398,398,882.78€,CB
399,399,2204.63€,pending
400,400,530.11€,cash
401,401,3634.82€,transfer
402,402,2443.87€,pending
403,403,296.03€,CB
404,404,2292.42€,CB
405,405,3203.13€,check
406,406,4545.76€,transfer
407,407,3220.49€,cash
408,408,508.83€,transfer
409,409,734.68€,transfer
410,410,2937.87€,cash
411,411,4098.53€,transfer
412,412,1049.83€,CB
413,413,3087.71€,transfer
414,414,1361.97€,CB
415,415,1510.17€,pending
416,416,3521.39€,check
417,417,3937.5€,CB
418,418,1496.27€,transfer
419,419,3471.52€,CB
420,420,4332.64€,cash
421,421,2998.45€,pending
